source,protocol,user,token,balance
0xE7cbfb8c70d423202033aD4C51CE94ce9E21CfA2,spot,0xE7cbfb8c70d423202033aD4C51CE94ce9E21CfA2,0x20fE91f17ec9080E3caC2d688b4EcB48C5aC3a9C,61338780535172675988252
0x5f6525eadAAea418E5e068e2Ad6fC0FfAd42C689,spot,0x5f6525eadAAea418E5e068e2Ad6fC0FfAd42C689,0x20fE91f17ec9080E3caC2d688b4EcB48C5aC3a9C,54891367203189136237570
0xa20442124a3EBB4Cc81468Fa7eD9e4C4643fd4E6,spot,0xa20442124a3EBB4Cc81468Fa7eD9e4C4643fd4E6,0x20fE91f17ec9080E3caC2d688b4EcB48C5aC3a9C,40721513976901050844116
0x97e7AaBeaDc64B71a86f4e76F7E72cbC5B06d37f,spot,0x97e7AaBeaDc64B71a86f4e76F7E72cbC5B06d37f,0x20fE91f17ec9080E3caC2d688b4EcB48C5aC3a9C,35137005124888111554423
0xAff661E840b078987d5761D7d501C5F2d52B4826,spot,0xAff661E840b078987d5761D7d501C5F2d52B4826,0x20fE91f17ec9080E3caC2d688b4EcB48C5aC3a9C,34000000000000000000000
0xd16D46CF844Db50Fd6aCeb5c37C6f99b58E48c32,spot,0xd16D46CF844Db50Fd6aCeb5c37C6f99b58E48c32,0x20fE91f17ec9080E3caC2d688b4EcB48C5aC3a9C,28733653956157403119206
0xC265f9D6a44350240ff9C8AbA00494C68672a9eA,spot,0xC265f9D6a44350240ff9C8AbA00494C68672a9eA,0x20fE91f17ec9080E3caC2d688b4EcB48C5aC3a9C,26041869308935531470230
0xd038D146DFab6B92dF8cE2c92369F09375fC5b32,spot,0xd038D146DFab6B92dF8cE2c92369F09375fC5b32,0x20fE91f17ec9080E3caC2d688b4EcB48C5aC3a9C,17780028502989512096646
0x627f489E01FB281263F84e2226b98DbA082155ae,spot,0x627f489E01FB281263F84e2226b98DbA082155ae,0x20fE91f17ec9080E3caC2d688b4EcB48C5aC3a9C,15120062943114958528813
0x09EEc6C24558bb51D0083780eA8FB57a0901D258,spot,0x09EEc6C24558bb51D0083780eA8FB57a0901D258,0x20fE91f17ec9080E3caC2d688b4EcB48C5aC3a9C,14640318401338861715252
0x2d18Baec5B9ED5F6006e00f1165678A36D4fe287,spot,0x2d18Baec5B9ED5F6006e00f1165678A36D4fe287,0x20fE91f17ec9080E3caC2d688b4EcB48C5aC3a9C,13475711433280022426973
0xf94C23EC012d08B58D0A689Ab45e3992DD43af00,spot,0xf94C23EC012d08B58D0A689Ab45e3992DD43af00,0x20fE91f17ec9080E3caC2d688b4EcB48C5aC3a9C,12720838943870897576364
0x8bace3A49A375027868CDd34e84521EeD1f1B01D,spot,0x8bace3A49A375027868CDd34e84521EeD1f1B01D,0x20fE91f17ec9080E3caC2d688b4EcB48C5aC3a9C,12115304003644304711029
0x5fD00F8Fef60E4BCD6E2e8fd0c20731aC893a847,spot,0x5fD00F8Fef60E4BCD6E2e8fd0c20731aC893a847,0x20fE91f17ec9080E3caC2d688b4EcB48C5aC3a9C,11507590426221336357211
0x3FeAa7D2cE86F63645EB8a2e46a292476cd8A430,spot,0x3FeAa7D2cE86F63645EB8a2e46a292476cd8A430,0x20fE91f17ec9080E3caC2d688b4EcB48C5aC3a9C,10760712708437720299297
0x8D9BED65B4Cd3Aa13212577c2d9412446F22FcF0,spot,0x8D9BED65B4Cd3Aa13212577c2d9412446F22FcF0,0x20fE91f17ec9080E3caC2d688b4EcB48C5aC3a9C,10500765507613234277800
0x879F99161156ba22132343c5146784CE5Ad875b0,spot,0x879F99161156ba22132343c5146784CE5Ad875b0,0x20fE91f17ec9080E3caC2d688b4EcB48C5aC3a9C,10000069934603842870610
0xd5436e6cFFC5dF88776DE981371dA5CaBad8515e,spot,0xd5436e6cFFC5dF88776DE981371dA5CaBad8515e,0x20fE91f17ec9080E3caC2d688b4EcB48C5aC3a9C,9779774891535752484755
